category,storage_type,quantity,purchase_temperature_c,moisture_level,perishability_index,household_usage_speed,shelf_life_days,wasted
berries,fridge,4,5.1,0.847,8.02,0.255,6,1
cooked leftovers,fridge,7,2.7,0.618,8.52,0.879,3,0
root vegetables,pantry,1,22.2,0.209,3.31,0.896,9,0
fish (raw),freezer,4,-19.8,0.727,9.67,0.87,7,0
cheese,freezer,2,-18.7,0.318,2.86,0.261,69,1
chicken (raw),fridge,3,5.2,0.633,9.77,0.86,2,0
banana,pantry,1,23.9,0.535,8.23,0.584,3,0
eggs,fridge,3,4.7,0.222,2.33,0.78,23,0
cheese,fridge,2,5.9,0.332,3.37,0.429,20,0
chicken (raw),fridge,5,3.1,0.578,10.0,0.945,2,0
chicken (raw),fridge,3,2.2,0.618,9.54,0.572,2,0
banana,fridge,2,8.4,0.571,7.51,0.54,5,0
leafy greens,fridge,4,2.4,0.766,8.76,0.782,5,0
root vegetables,fridge,3,2.8,0.292,2.55,0.818,19,0
packaged snacks,pantry,4,25.4,0.058,1.0,0.563,54,0
packaged snacks,pantry,3,25.5,0.136,1.0,0.222,40,1
yogurt,fridge,2,6.1,0.755,6.32,0.827,9,0
banana,pantry,5,23.0,0.526,7.84,0.474,3,0
fish (raw),pantry,2,25.8,0.657,9.86,0.204,1,0
yogurt,fridge,4,2.4,0.724,5.56,0.453,9,0
cheese,fridge,2,6.6,0.301,2.88,0.833,21,0
bread,fridge,4,3.2,0.324,7.51,1.0,5,0
bread,fridge,1,2.9,0.244,7.6,0.282,4,0
eggs,pantry,2,23.4,0.203,1.85,0.533,20,0
tomato,fridge,2,1.4,0.716,7.86,0.527,7,1
tomato,pantry,5,25.6,0.759,7.22,0.905,5,0
packaged snacks,freezer,4,-15.3,0.087,1.0,0.252,307,0
bread,fridge,5,4.5,0.358,7.3,0.739,5,0
cheese,fridge,4,3.1,0.391,3.53,0.92,21,0
chicken (raw),fridge,6,6.2,0.613,9.59,0.41,3,1
leafy greens,fridge,4,6.0,0.77,8.37,0.254,4,0
chicken (raw),freezer,1,-16.9,0.657,10.0,0.864,7,0
leafy greens,freezer,4,-18.4,0.844,9.41,0.264,18,1
root vegetables,pantry,3,22.9,0.318,3.05,0.67,11,0
cheese,fridge,1,4.7,0.343,2.08,0.204,20,1
leafy greens,freezer,5,-17.5,0.868,9.66,0.687,17,1
packaged snacks,pantry,3,24.6,0.008,1.17,0.518,27,0
banana,fridge,5,5.7,0.502,8.17,0.732,4,0
cooked leftovers,pantry,4,23.9,0.597,8.91,0.276,2,0
fish (raw),fridge,1,3.5,0.747,9.08,0.345,2,1
tomato,fridge,4,-0.4,0.673,8.21,0.905,7,0
bread,fridge,4,3.0,0.345,7.81,0.859,5,0
cheese,fridge,2,2.6,0.328,3.23,0.495,24,0
yogurt,freezer,1,-17.6,0.741,5.87,0.596,34,0
citrus,pantry,4,26.1,0.396,3.85,0.573,6,0
cheese,fridge,4,5.4,0.387,2.92,0.563,22,0
cooked leftovers,fridge,5,3.6,0.618,7.8,0.663,3,0
bread,fridge,7,6.7,0.217,6.36,0.288,5,1
tomato,fridge,5,4.8,0.648,7.12,0.519,6,0
leafy greens,fridge,4,3.1,0.874,8.73,0.714,7,0
berries,pantry,5,21.3,0.829,9.26,0.161,3,0
tomato,fridge,1,3.4,0.792,6.91,0.789,7,0
rice (cooked),fridge,3,1.5,0.549,6.55,0.37,4,0
citrus,freezer,2,-19.1,0.334,4.42,0.238,50,1
rice (cooked),pantry,2,22.2,0.528,6.76,0.533,2,0
cheese,pantry,1,21.8,0.311,1.84,0.533,11,0
bread,fridge,2,2.5,0.254,7.28,0.249,5,1
